gj000233	1109298.826	580006.322	-4.857
gj000234	1109296.645	580006.393	-4.902
gj000235	1109294.466	580006.469	-4.772
gj000236	1109292.294	580006.543	-4.727
gj000237	1109290.118	580006.611	-4.97
gj000238	1109287.935	580006.685	-4.666
gj000239	1109285.749	580006.747	-4.323
gj000240	1109283.557	580006.826	-4.442
gj000241	1109281.371	580006.908	-4.955
gj000242	1109279.194	580006.992	-5.038
gj000243	1109277.014	580007.062	-4.937
gj000244	1109274.834	580007.117	-4.94
gj000245	1109272.666	580007.19	-4.983
gj000246	1109270.491	580007.28	-5.013
gj000247	1109268.314	580007.37	-5.036
gj000248	1109266.13	580007.464	-5.059
gj000249	1109263.948	580007.568	-5
gj000250	1109261.774	580007.696	-4.937
gj000251	1109259.598	580007.85	-4.928
gj000252	1109257.422	580007.991	-4.927
gj000253	1109255.218	580008.012	-4.871
gj000254	1109253.02	580007.921	-4.875
gj000255	1109250.863	580007.824	-4.967
gj000256	1109248.705	580007.738	-4.98
gj000257	1109246.535	580007.632	-5.145
gj000258	1109244.367	580007.523	-5.123
gj000259	1109242.204	580007.426	-5.139
gj000260	1109240.031	580007.33	-5.237
gj000261	1109237.856	580007.219	-5.281
gj000262	1109235.676	580007.115	-5.521
gj000263	1109233.492	580007.007	-5.683
gj000264	1109231.311	580006.895	-5.649
gj000265	1109229.13	580006.787	-5.586
gj000266	1109226.955	580006.696	-5.487
gj000267	1109224.771	580006.591	-5.415
gj000268	1109222.586	580006.486	-5.203
gj000269	1109220.411	580006.387	-5.453
gj000270	1109218.229	580006.311	-5.601
gj000271	1109216.039	580006.202	-5.541
gj000272	1109213.836	580006.071	-5.443
gj000273	1109211.641	580005.943	-5.878
gj000274	1109209.457	580005.836	-6.084
gj000275	1109207.276	580005.753	-6.128
gj000276	1109205.091	580005.683	-6.151
gj000277	1109202.905	580005.623	-6.194
gj000278	1109200.726	580005.589	-6.284
gj000279	1109198.543	580005.572	-6.242
gj000280	1109196.354	580005.552	-6.243
gj000281	1109194.169	580005.538	-6.057
gj000282	1109192.025	580005.574	-5.927
gj000283	1109189.865	580005.61	-5.981
gj000284	1109187.71	580005.396	-5.956
gj000285	1109185.772	580004.785	-6.148
gj000286	1109184.045	580003.71	-6.294
gj000287	1109182.622	580002.05	-6.263
gj000288	1109181.845	580000.161	-6.325
gj000289	1109181.634	579998.114	-6.399
gj000290	1109181.977	579996.022	-6.465
gj000291	1109182.736	579994.133	-6.585
gj000292	1109183.858	579992.349	-6.552
gj000293	1109185.085	579990.695	-6.488
gj000294	1109183.951	579992.45	-6.564
gj000295	1109182.9	579994.26	-6.585
gj000296	1109181.96	579996.058	-6.475
gj000297	1109181.014	579997.98	-6.405
gj000298	1109180.347	579999.942	-6.447
gj000299	1109182.173	580000.778	-6.274
gj000300	1109184.351	580000.873	-6.305
gj000301	1109186.609	580000.89	-6.34
gj000302	1109188.901	580000.904	-6.33
gj000303	1109191.086	580000.932	-6.299
gj000304	1109193.412	580000.967	-6.235
gj000305	1109195.493	580001.004	-6.2
gj000306	1109197.649	580001.06	-6.217
gj000307	1109199.903	580001.139	-6.144
gj000308	1109202.276	580001.258	-6.089
gj000309	1109204.332	580001.36	-6.078
gj000310	1109206.443	580001.474	-6.027
gj000311	1109208.6	580001.591	-6.038
gj000312	1109210.796	580001.718	-6.037
gj000313	1109213.018	580001.841	-6.029
gj000314	1109215.253	580001.955	-5.928
gj000315	1109217.51	580002.054	-5.871
gj000316	1109219.786	580002.147	-5.788
gj000317	1109222.079	580002.23	-5.958
gj000318	1109224.386	580002.319	-5.986
gj000319	1109226.71	580002.408	-6.034
gj000320	1109229.044	580002.498	-6.004
gj000321	1109231.382	580002.599	-5.877
gj000322	1109233.727	580002.695	-5.837
gj000323	1109236.079	580002.788	-5.826
gj000324	1109238.44	580002.878	-5.689
gj000325	1109240.802	580002.965	-5.585
gj000326	1109243.167	580003.053	-5.446
gj000327	1109245.529	580003.134	-5.189
gj000328	1109247.893	580003.206	-5.075
gj000329	1109250.259	580003.273	-4.938
gj000330	1109252.629	580003.337	-4.966
gj000331	1109255.001	580003.393	-5.156
gj000332	1109257.375	580003.443	-5.238
gj000333	1109259.745	580003.487	-5.277
gj000334	1109262.105	580003.492	-5.373
gj000335	1109264.44	580003.452	-5.456
gj000336	1109266.773	580003.38	-5.445
gj000337	1109269.113	580003.291	-5.474
gj000338	1109271.465	580003.197	-5.438
gj000339	1109273.824	580003.103	-5.37
gj000340	1109276.183	580003.007	-5.397
gj000341	1109278.545	580002.898	-5.404
gj000342	1109280.905	580002.781	-5.459
gj000343	1109283.273	580002.67	-5.536
gj000344	1109285.646	580002.571	-5.612
gj000345	1109288.026	580002.48	-5.584
gj000346	1109290.404	580002.399	-5.442
gj000347	1109292.779	580002.337	-5.399
gj000348	1109295.157	580002.29	-5.407
gj000349	1109297.537	580002.262	-5.421
gj000350	1109299.915	580002.234	-5.536
gj000351	1109302.29	580002.22	-5.531
gj000352	1109304.667	580002.208	-5.373
gj000353	1109307.046	580002.208	-5.444
gj000354	1109309.427	580002.219	-5.487
gj000355	1109311.812	580002.241	-5.556
gj000356	1109314.197	580002.268	-5.489
gj000357	1109316.577	580002.298	-5.48
gj000358	1109318.953	580002.329	-5.414
gj000359	1109321.326	580002.36	-5.23
gj000360	1109323.689	580002.402	-5.266
gj000361	1109325.951	580002.455	-5.21
gj000362	1109328.176	580002.512	-5.174
gj000363	1109330.43	580002.582	-4.983
gj000364	1109332.701	580002.639	-4.924
gj000365	1109334.975	580002.68	-4.699
gj000366	1109337.266	580002.701	-4.851
gj000367	1109339.572	580002.712	-4.84
gj000368	1109341.888	580002.702	-4.99
gj000369	1109344.198	580002.663	-5.108
gj000370	1109346.511	580002.596	-5.217
gj000371	1109348.844	580002.53	-5.25
gj000372	1109351.197	580002.463	-5.239
gj000373	1109353.549	580002.39	-5.266
gj000374	1109355.897	580002.305	-5.298
gj000375	1109358.249	580002.213	-5.359
gj000376	1109360.612	580002.116	-5.366
gj000377	1109362.985	580002.021	-5.328
gj000378	1109365.364	580001.949	-5.384
gj000379	1109367.742	580001.888	-5.502
gj000380	1109370.13	580001.844	-5.486
gj000381	1109372.519	580001.823	-5.431
gj000382	1109374.91	580001.82	-5.566
gj000383	1109377.304	580001.838	-5.684
gj000384	1109379.696	580001.884	-5.661
gj000385	1109382.084	580001.954	-5.749
gj000386	1109384.467	580002.03	-5.719
gj000387	1109386.839	580002.094	-5.595
gj000388	1109389.202	580002.143	-5.548
gj000389	1109391.558	580002.184	-5.498
gj000390	1109393.917	580002.212	-5.468
gj000391	1109396.28	580002.238	-5.413
gj000392	1109398.648	580002.263	-5.435
gj000393	1109401.021	580002.289	-5.498
gj000394	1109403.399	580002.32	-5.606
gj000395	1109405.775	580002.356	-5.412
gj000396	1109408.149	580002.405	-5.225
gj000397	1109410.526	580002.464	-5.299
gj000398	1109412.905	580002.557	-5.299
gj000399	1109415.296	580002.732	-5.252
gj000400	1109417.678	580003.01	-5.228
gj000401	1109420.004	580003.403	-4.996
gj000402	1109422.24	580003.803	-4.88
gj000403	1109424.366	580004.104	-4.795
gj000404	1109426.368	580004.247	-4.76
gj000405	1109428.605	580004.202	-4.775
gj000406	1109430.642	580003.979	-4.724
gj000407	1109432.787	580003.541	-4.848
gj000408	1109434.698	580002.926	-4.951
gj000409	1109436.64	580002.049	-5.152
gj000410	1109438.544	580000.867	-5.289
gj000411	1109440.156	579999.502	-5.385
gj000412	1109441.436	579997.86	-5.703
gj000413	1109442.288	579996.029	-5.741
gj000414	1109442.687	579993.944	-5.947
gj000415	1109442.439	579991.811	-6.016
gj000416	1109441.451	579989.912	-5.871
gj000417	1109439.835	579988.515	-5.895
gj000418	1109437.956	579987.627	-5.904
gj000419	1109435.942	579987.081	-5.938
gj000420	1109433.916	579986.747	-5.926
gj000421	1109431.718	579986.543	-5.927
gj000422	1109429.394	579986.479	-5.965
gj000423	1109427.308	579986.489	-5.958
gj000424	1109425.151	579986.536	-5.943
gj000425	1109422.943	579986.616	-5.918
gj000426	1109420.692	579986.72	-5.935
gj000427	1109418.405	579986.844	-5.921
gj000428	1109416.086	579986.971	-5.913
gj000429	1109413.778	579987.147	-5.914
gj000430	1109411.499	579987.419	-5.923
gj000431	1109409.212	579987.765	-5.901
gj000432	1109406.915	579988.177	-5.889
gj000433	1109404.608	579988.649	-5.941
gj000434	1109402.3	579989.165	-5.853
gj000435	1109399.988	579989.728	-5.853
gj000436	1109397.683	579990.341	-5.875
gj000437	1109395.75	579990.867	-5.832
gj000438	1109393.81	579991.407	-5.861
gj000439	1109391.856	579991.941	-5.909
gj000440	1109389.888	579992.453	-5.907
gj000441	1109387.896	579992.931	-5.862
gj000442	1109385.913	579993.381	-5.799
gj000443	1109383.936	579993.827	-5.869
gj000444	1109381.958	579994.264	-5.866
gj000445	1109379.968	579994.695	-5.927
gj000446	1109377.973	579995.115	-5.965
gj000447	1109375.961	579995.505	-5.952
gj000448	1109373.93	579995.843	-5.978
gj000449	1109371.886	579996.12	-5.922
gj000450	1109369.845	579996.358	-5.89
gj000451	1109367.811	579996.569	-5.904
gj000452	1109365.771	579996.762	-5.724
gj000453	1109363.724	579996.94	-5.83
gj000454	1109361.692	579997.085	-5.773
gj000455	1109359.31	579997.243	-5.771
gj000456	1109356.988	579997.358	-5.754
gj000457	1109354.784	579997.433	-5.714
gj000458	1109352.705	579997.485	-5.692
gj000459	1109350.404	579997.521	-5.591
gj000460	1109348.23	579997.567	-5.57
gj000461	1109346.152	579997.627	-5.465
gj000462	1109344.136	579997.714	-5.549
gj000463	1109341.881	579997.839	-5.303
gj000464	1109339.675	579997.984	-5.372
gj000465	1109337.497	579998.151	-5.183
gj000466	1109335.326	579998.313	-5.246
gj000467	1109333.171	579998.466	-5.22
gj000468	1109331.03	579998.621	-5.271
gj000469	1109328.895	579998.782	-5.502
gj000470	1109326.763	579998.932	-5.553
gj000471	1109324.626	579999.061	-5.589
gj000472	1109322.494	579999.177	-5.629
gj000473	1109320.367	579999.291	-5.678
gj000474	1109318.239	579999.397	-5.636
gj000475	1109316.11	579999.49	-5.688
gj000476	1109313.959	579999.461	-5.652
gj000477	1109311.81	579999.347	-5.639
gj000478	1109309.584	579999.295	-5.649
gj000479	1109307.551	579999.321	-5.565
gj000480	1109305.412	579999.358	-5.535
gj000481	1109303.184	579999.362	-5.563
gj000482	1109300.906	579999.359	-5.532
gj000483	1109298.58	579999.364	-5.54
gj000484	1109296.552	579999.377	-5.439
gj000485	1109294.5	579999.403	-5.459
gj000486	1109292.422	579999.415	-5.4
gj000487	1109290.324	579999.398	-5.329
gj000488	1109288.216	579999.372	-5.338
gj000489	1109286.103	579999.349	-5.373
gj000490	1109283.985	579999.326	-5.441
